period,state,handgun,long_gun,multiple,year,month
2017-07,Maine,2965,2485,244,2017,7
2017-07,Maryland,4081,4314,36,2017,7
2017-07,Massachusetts,4437,2365,236,2017,7
2017-07,Michigan,10236,8456,416,2017,7
2017-07,Minnesota,5699,8507,490,2017,7
2017-07,Mississippi,6557,4378,640,2017,7
2017-07,Missouri,17766,12208,1714,2017,7
2017-07,Montana,2538,3485,312,2017,7
2017-07,Nebraska,107,1324,0,2017,7
2017-07,Nevada,4012,2158,446,2017,7
2017-07,New Hampshire,4651,2670,8,2017,7
2017-07,New Jersey,4786,2771,0,2017,7
2017-07,New Mexico,5317,3579,456,2017,7
2017-07,New York,10133,12431,340,2017,7
2017-07,North Carolina,1165,10248,360,2017,7
2017-07,North Dakota,1415,2233,124,2017,7
2017-07,Ohio,23089,15544,1918,2017,7
2017-07,Oklahoma,10315,7368,1336,2017,7
2017-07,Oregon,12276,8665,2,2017,7
2017-07,Pennsylvania,41062,12863,0,2017,7
2017-07,Rhode Island,920,652,258,2017,7
2017-07,South Carolina,8204,5084,654,2017,7
2017-07,South Dakota,2119,2590,198,2017,7
2017-07,Tennessee,22307,12568,0,2017,7
2017-07,Texas,40604,29970,4386,2017,7
2017-07,Utah,2818,2801,0,2017,7
2017-07,Vermont,1240,1113,94,2017,7
2017-07,Virginia,22757,14719,0,2017,7
2017-07,Washington,14159,9500,1130,2017,7
2017-07,West Virginia,5346,4988,656,2017,7
2017-07,Wisconsin,12691,10941,88,2017,7
2017-07,Wyoming,1354,1535,154,2017,7
2017-06,Alabama,9102,5260,668,2017,6
2017-06,Alaska,3200,2479,380,2017,6
2017-06,Arizona,12658,7399,1212,2017,6
2017-06,Arkansas,6197,4477,584,2017,6
2017-06,California,46999,26188,0,2017,6
2017-06,Colorado,19559,12428,2076,2017,6
2017-06,Connecticut,6823,1942,0,2017,6
2017-06,Delaware,1896,1190,132,2017,6
2017-06,Florida,57325,21318,4024,2017,6
2017-06,Georgia,14979,7121,994,2017,6
2017-06,Hawaii,0,0,0,2017,6
2017-06,Idaho,4010,4068,368,2017,6
2017-06,Illinois,23533,10440,1580,2017,6
2017-06,Indiana,20186,10677,1056,2017,6
2017-06,Iowa,108,1805,6,2017,6
2017-06,Kansas,6188,4167,560,2017,6
2017-06,Kentucky,9642,5745,938,2017,6
2017-06,Louisiana,12877,6956,1080,2017,6
2017-06,Maine,3370,2407,310,2017,6
2017-06,Maryland,4365,4359,38,2017,6
2017-06,Massachusetts,6173,2516,298,2017,6
2017-06,Michigan,12287,8336,400,2017,6
2017-06,Minnesota,6884,8256,572,2017,6
2017-06,Mississippi,8786,4432,764,2017,6
2017-06,Missouri,21405,12617,1870,2017,6
2017-06,Montana,3329,4100,424,2017,6
2017-06,Nebraska,109,1387,4,2017,6
2017-06,Nevada,4894,2571,438,2017,6
2017-06,New Hampshire,5320,2653,4,2017,6
2017-06,New Jersey,5524,2845,0,2017,6
2017-06,New Mexico,5667,3835,522,2017,6
2017-06,New York,11862,12440,392,2017,6
