station_id,rented,returned,station_name,difference
110,454,490,17th & Folsom Street Park (17th St at Folsom St),-36
105,453,404,16th St at Prosper St,49
91,450,409,Berry St at King St,41
252,439,523,Channing Way at Shattuck Ave,-84
84,439,256,Duboce Park,183
145,435,407,29th St at Church St,28
132,435,309,24th St at Chattanooga St,126
305,434,408,Ryland Park,26
107,428,347,17th St at Dolores St,81
147,428,395,29th St at Tiffany Ave,33
99,425,434,Folsom St at 15th St,-9
254,422,407,Vine St at Shattuck Ave,15
113,405,402,Franklin Square,3
178,404,375,Broadway at 30th St,29
312,402,398,San Jose Diridon Station,4
211,393,345,Broadway at 40th St,48
87,392,438,Folsom St at 13th St,-46
179,391,290,Telegraph Ave at 27th St,101
29,386,365,O'Farrell St at Divisadero St,21
137,385,303,Jersey St at Castro St,82
250,380,383,North Berkeley BART Station,-3
317,373,395,San Salvador St at 9th St,-22
118,373,300,Eureka Valley Recreation Center,73
203,373,429,Webster St at 2nd St,-56
166,365,363,College Ave at Alcatraz Ave,2
33,363,374,Golden Gate Ave at Hyde St,-11
385,359,361,Woolsey St at Sacramento St,-2
34,356,337,Father Alfred E Boeddeker Park,19
274,354,407,Oregon St at Adeline St,-53
201,353,376,10th St at Fallon St,-23
383,347,270,Golden Gate Ave at Franklin St,77
136,343,303,23rd St at San Bruno Ave,40
193,340,438,Grand Ave at Santa Clara Ave,-98
106,335,311,Sanchez St at 17th St,24
375,331,237,Grove St at Masonic Ave,94
180,326,325,Telegraph Ave at 23rd St,1
357,325,305,2nd St at Julian St,20
54,325,253,Alamo Square (Steiner St at Fulton St),72
210,315,259,45th St at Manila,56
230,313,322,14th St at Mandela Pkwy,-9
251,312,334,California St at University Ave,-22
189,312,264,Genoa St at 55th St,48
63,309,357,Bryant St at 6th St,-48
242,309,338,Milvia St at Derby St,-29
277,308,276,Morrison Ave at Julian St,32
39,307,190,Scott St at Golden Gate Ave,117
278,307,315,The Alameda at Bush St,-8
365,305,252,Turk St at Fillmore St,53
138,299,202,Jersey St at Church St,97
175,290,271,49th St at Telegraph Ave,19
131,289,260,22nd St at Dolores St,29
341,286,290,Fountain Alley at S 2nd St,-4
276,285,274,Julian St at The Alameda,11
270,283,361,Ninth St at Heinz Ave,-78
255,280,249,Virginia St at Shattuck Ave,31
146,275,228,30th St at San Jose Ave,47
380,273,259,Masonic Ave at Turk St,14
194,273,278,Lakeshore Ave at Trestle Glen Rd,-5
311,268,276,Paseo De San Antonio at 2nd St,-8
338,266,207,13th St at Franklin St,59
373,254,224,Potrero del Sol Park (25th St at Utah St),30
212,254,261,Mosswood Park,-7
268,252,241,Ellsworth St at Russell St,11
259,244,322,Addison St at Fourth St,-78
381,237,175,20th St at Dolores St,62
315,235,196,Market St at 45th St,39
18,235,216,Telegraph Ave at Alcatraz Ave,19
148,232,238,Horton St at 40th St,-6
186,229,228,Lakeside Dr at 14th St,1
327,227,243,5th St at San Salvador St,-16
265,221,268,Ninth St at Parker St,-47
263,220,256,Channing Way at San Pablo Ave,-36
372,218,213,Madison St at 17th St,5
337,216,230,Webster St at 19th St,-14
202,211,232,Washington St at 8th St,-21
308,207,205,San Pedro Square,2
157,201,248,65th St at Hollis St,-47
173,201,194,Shattuck Ave at 55th St,7
233,200,192,4th Ave at E 12th St (Temporary Location),8
219,198,185,Marston Campbell Park,13
154,196,254,Doyle St at 59th St,-58
159,195,204,24th St at Market St,-9
351,190,277,10th St at University Ave,-87
213,188,196,32nd St at Adeline St,-8
190,187,118,West St at 40th St,69
158,185,185,Shattuck Ave at Telegraph Ave,0
198,180,174,Snow Park,6
273,177,192,Fulton St at Ashby Ave,-15
150,173,210,Adeline St at 40th St,-37
162,173,165,Franklin St at 9th St,8
188,168,170,Dover St at 57th St,-2
279,167,163,Santa Clara St at 7th St,4
214,166,166,Market St at Brockhurst St,0
156,165,195,Stanford Ave at Hollis St,-30
142,165,125,Guerrero Park,40
155,165,194,Emeryville Public Market,-29
187,164,203,Jack London Square,-39
205,162,156,Miles Ave at Cavour St,6
207,160,141,Broadway at Coronado Ave,19
340,158,154,Harmon St at Adeline St,4
167,156,143,College Ave at Harwood Ave,13
257,155,209,Fifth St at Delaware St,-54
281,155,176,9th St at San Fernando St,-21
309,154,170,San Jose City Hall,-16
218,154,143,DeFremery Park,11
262,154,205,West St at University Ave,-51
37,152,147,2nd St at Folsom St,5
339,143,140,Jackson St at 11th St,3
215,143,157,34th St at Telegraph Ave,-14
140,140,103,Cesar Chavez St at Dolores St,37
168,138,128,Alcatraz Ave at Shattuck Ave,10
174,132,129,Shattuck Ave at 51st St,3
204,129,137,55th St at Telegraph Ave,-8
177,126,102,MacArthur Blvd at Telegraph Ave,24
192,125,116,37th St at West St,9
153,123,177,59th St at Horton St,-54
271,122,150,San Pablo Park,-28
152,121,135,47th St at San Pablo Ave,-14
169,114,112,Bushrod Park,2
294,113,99,Pierce Ave at Market St,14
220,112,118,San Pablo Ave at MLK Jr Way,-6
235,111,96,Union St at 10th St,15
232,111,128,MLK Jr Way at 14th St,-17
314,107,116,Santa Clara St at Almaden Blvd,-9
35,102,85,Cahill Park,17
304,99,90,Jackson St at 5th St,9
172,96,80,College Ave at Taft Ave,16
316,94,97,San Salvador St at 1st St,-3
170,94,112,Telegraph Ave at 58th St,-18
282,94,90,Market St at Park St,4
149,93,106,Emeryville Town Hall,-13
221,91,113,6th Ave at E 12th St (Temporary Location),-22
164,90,80,Isabella St at San Pablo Ave,10
231,90,79,14th St at Filbert St,11
291,87,106,Autumn Parkway at Coleman Ave,-19
313,85,88,Almaden Blvd at San Fernando St,-3
151,82,90,53rd St at Hollis St,-8
289,80,99,5th St at Taylor St,-19
299,79,38,Bestor Art Park,41
275,78,71,Julian St at 6th St,7
237,77,102,Fruitvale BART Station,-25
295,75,82,William St at 10th St,-7
227,74,75,Foothill Blvd at Fruitvale Ave,-1
306,73,82,Saint James Park,-9
286,70,83,San Carlos St at 11th St,-13
216,68,69,San Pablo Ave at 27th St,-1
206,67,67,College Ave at Bryant Ave,0
191,66,49,Market St at 40th St,17
292,59,47,Empire St at 1st St,12
236,58,59,Market St at 8th St,-1
360,57,62,Newhall St at 3rd St,-5
222,57,37,10th Ave at E 15th St,20
361,57,57,Mendell St at Fairfax Ave,0
217,55,49,27th St at MLK Jr Way,6
209,55,67,45th St at MLK Jr Way,-12
46,53,61,San Antonio Park,-8
283,50,54,Delmas Ave and San Fernando St,-4
358,50,51,Williams Ave at 3rd St,-1
297,49,45,Locust St at Grant St,4
318,48,52,San Carlos St at Market St,-4
362,36,46,Lane St at Revere Ave,-10
228,35,16,Foothill Blvd at Harrington Ave,19
287,34,38,Almaden Blvd at Balbach St,-4
288,34,25,Mission St at 1st St,9
307,32,42,SAP Center,-10
290,31,34,George St at 1st St,-3
298,30,28,Oak St at 1st St,2
378,29,28,Empire St at 7th St,1
359,25,20,Williams Ave at Apollo St,5
229,23,20,Foothill Blvd at 42nd Ave,3
303,19,30,San Pedro St at Hedding St,-11
226,19,19,26th Ave at International Blvd,0
225,18,20,23rd Ave at Foothill Blvd,-2
234,18,20,Farnam St at Fruitvale Ave,-2
388,17,21,Backesto Park (Jackson St at 13th St),-4
398,17,12,Leavenworth St at Broadway,5
389,13,11,Taylor St at 9th St,2
301,9,5,Willow St at Vine St,4
51,7,9,Parker Ave at McAllister St,-2
224,4,6,21st Ave at International Blvd,-2
300,4,7,Palm St at Willow St,-3
344,2,6,16th St Depot,-4
